,timestamp,price,quantity,type,exchange
165,1554086597,3959.65,0.05001199,bids,gemini
665,1554086597,4444.0,0.25664349,asks,gemini
166,1554086597,3959.0,1.009,bids,gemini
666,1554086597,4444.44,0.27616011,asks,gemini
167,1554086597,3955.0,0.166,bids,gemini
667,1554086597,4445.0,0.75565699,asks,gemini
168,1554086597,3951.0,0.53130852,bids,gemini
668,1554086597,4448.0,0.05,asks,gemini
169,1554086597,3950.1,7.594e-05,bids,gemini
669,1554086597,4450.0,1.15989477,asks,gemini
170,1554086597,3950.01,0.1,bids,gemini
670,1554086597,4455.96,0.00448838,asks,gemini
171,1554086597,3950.0,1.70275943,bids,gemini
671,1554086597,4462.41,0.00731,asks,gemini
172,1554086597,3949.0,0.12661433,bids,gemini
672,1554086597,4468.27,0.1,asks,gemini
173,1554086597,3947.51,0.00126662,bids,gemini
673,1554086597,4472.4,0.25,asks,gemini
174,1554086597,3945.51,0.12547173,bids,gemini
674,1554086597,4474.0,1.4,asks,gemini
175,1554086597,3940.0,0.04281217,bids,gemini
675,1554086597,4475.0,0.5,asks,gemini
176,1554086597,3930.0,0.01,bids,gemini
676,1554086597,4478.0,0.3,asks,gemini
177,1554086597,3926.0,0.03,bids,gemini
677,1554086597,4492.5,0.016653,asks,gemini
178,1554086597,3925.1,7.643e-05,bids,gemini
678,1554086597,4495.0,0.09,asks,gemini
179,1554086597,3925.0,0.25350317,bids,gemini
679,1554086597,4497.0,0.1,asks,gemini
180,1554086597,3923.12,0.02548991,bids,gemini
680,1554086597,4500.0,119.79360803,asks,gemini
181,1554086597,3922.54,0.02371979,bids,gemini
681,1554086597,4501.1,0.005948,asks,gemini
182,1554086597,3922.0,0.37851111,bids,gemini
682,1554086597,4521.28,0.006201,asks,gemini
183,1554086597,3920.0,0.36268617,bids,gemini
683,1554086597,4525.0,0.5,asks,gemini
184,1554086597,3919.98,0.3493,bids,gemini
684,1554086597,4540.0,10.0,asks,gemini
185,1554086597,3918.9,0.00637934,bids,gemini
685,1554086597,4550.0,1.0,asks,gemini
